ctyName,CCISO3,gdp_year,gdp_latest,gdp_growth_year,gdp_growth_latest,lpi_year,lpi_score,distance_from_th,fta_with_th,cte_2018,efi_score_2019,st_political risk,mlt_political risk,commercial risk,transfer restriction risk
Mauritania,MRT,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Mauritius,MUS,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Mexico,MEX,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Mongolia,MNG,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Montenegro,MNE,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Morocco,MAR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Mozambique,MOZ,2018.0,YES,2018.0,YES,2016.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Myanmar,MMR,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
N. Mariana Isds,MNP,2017.0,YES,2017.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Namibia,NAM,2018.0,YES,2018.0,YES,2016.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Nauru,NRU,2018.0,YES,2018.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Nepal,NPL,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Netherlands,NLD,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
New Caledonia,NCL,2000.0,YES,2000.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
New Zealand,NZL,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Nicaragua,NIC,2018.0,YES,2018.0,YES,2016.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Niger,NER,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Nigeria,NGA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Norway,NOR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Oman,OMN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Pakistan,PAK,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
